HBA_SMILES,HBD_SMILES,ratio,property_value,property_type,property_unity,method,functional,basis,forcefield
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,358.1,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,208.8,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,103.6,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,59.9,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,36.6,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,21.7,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,12.4,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,6.4,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,0.109,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,0.617,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,2.454,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,4.459,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,4.566,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,0.333333333,9.153,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.5,90.2,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.5,72,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.5,57.7,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.5,37,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.5,24.4,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.5,15.8,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.5,8.4,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.5,4.5,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,C(CO)O,0.5,1.703,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
